,song_id,input,reference,sm_baseline_output,sm_finetuned_output,lg_baseline_output,lg_finetuned_output
0,6728186,"Pick one of my random memories
I can precisely live again that moment
It's hard sometimes not to be able to forget
I'd prefer to vanish some flashbacks
Don't know why it has to be so vivid
It can play over and over in my head
I want to switch off the button
And never relive it again",I need to live and forget,pick one of my random memories I can precisely live again that moment I prefer to vanish some flash,And never relive it again,i'd rather vanish some flashbacks don't know why it has to be,It's so hard sometimes not to be able to forget
1,5057485,"It's October
The leaves are falling down, falling down
Getting colder
I can feel it all around, it's all around
Just think of all the things I do for you
Not a thing that I could say I wouldn't do
Could you please believe just how it makes me feel?
Are you really there, is this even real?",Listen to me,"it's October The leaves are falling down, falling down Getting colder I can feel it","Are you really there, is this even real?","the leaves are falling down, falling down Getting colder . i'd do anything","I've been thinking about you, thinking about you"
2,7128594,"Well, you don't like my smoking
You don't like my drinking
You don't always understand my simple way of thinking
But there's some kinda magic
We fit like whiskey and Coke
And once I got a taste of you, you had me on the ropes
I like a lot, you like a little
Let's take a shot and we can meet in the middle","Try a tiny bit of crazy, I'll try to toe the line",you don't like my smoking You don't like my drinking You don't always understand,"I like a lot, you like a little",jimmy drew from a long list of 'must have',"Well, I know you don't love me like I love you"
3,194843,"Completely complacent
So excitedly vacant
I keep waiting for something to give
But that something is always me
You consume what your able
I get crumbs from your table
You call this comfortably normal
But i call it getting by",Baby its a fine line,I keep waiting for something to give But that something is always me You consume what your able I,"I don't want a shit, i don't want",completely complacent so excitedly vacant i keep waiting for something to give .,You call this comfortably normal
4,7764202,"Feels like home doesn’t look right
The truth seems wrong in the right light
Or maybe everyone and everything has changed
Too long at the bottom of a quick fix
I put one foot forward but it don’t stick
Ain’t it funny how things you tell yourself
Remain the same when you’re without
Can you forgive me love, forgive me love","Forgive me love, forgive me love","can you forgive me love, forgive me love, forgive me love, forgive me love and forgive me","Can you forgive me love, forgive me love",feelings like home doesn’t look right or maybe everyone and everything has changed too long at the bottom,"Can you forgive me love, forgive me love"
5,3592481,"God was still in school
Micky Thompson tires were cool
Sitting high in a CJ 5 made you want to light the fuse
On those hometown Friday nights
You can outrun red lights
Racing trains and watching planes for time used to fly
When good old days were young
And the nights went on forever",Guitars and peers and everclear and cold beer went together,you can outrun red lights Racing trains and watching planes for time used to fly When good old,And the days went on forever,i'll never forget the good ol' days when i used to race trains,And the stars were shining bright
6,4705645,"Tell me something, girl
Are  you happy in this modern world?
Or  do you need more
Is there somethin' else you're searching for?
But I'm fallin'
In  all the good times I find myself longing
For  change
And in the bad times, I fear myself","Yeah,  eh, eh","I fear myself longing for change And in the bad times, I fear myself .",But I'm fallin',i'm fallin' In all the good times i find myself longing For change,'Cause I'm fallin'
7,3258169,"Ten thousand miles on gravel roads
Hitchhiked my way through Mexico
Red eyes straight through twenty time zones
All alone
Just to feel you breathe
Just to see you smile
Just to hold your hand
For a little while",I'll go to the ends of the earth for you,ten thousand miles on gravel roads Hitchhiked my way through Mexico Red eyes straight through,For a little while,"i hitchhiked through mexico, mexico, chile,",For a little while
8,7354959,"Alright, we'll do that one for you, out of all the wars that have been I think that this is about the only thing that ever gave me any of them, it's any good, and it's a song, that was handed down to me
The years creep slowly by, Lorena
Snow is on the grass again
The sun is sleek and low down the sky, Lorena
Frost is where the flowers have been
The music sad and lone, Lorena
Happy sounds have left the day
The banjo's softly played, Lorena",Where once they rang so loud and gay,"the year creep slowly by, Lorena Snow is on the grass again The sun is sleek and low down the sky, Lorena Frost is where the flowers have been The music sad and lone, Lor","The music sad and lone, Lorena","Lorena snow is about the only thing that ever gave me any of them, it's any good, and it's a song, that was handed down to me . the banjo's",Lorena
9,7189650,"I left home for Bluefield, West Virginia
And worked my way up to Ohio
Settled for a spell in Cincinnati
Then hitched a ride on a paddleboat
Took the Delta Queen on down the river
Rode the Mississippi for a while
Got off at the gateway in St. Louis
And then I started countin' up the miles",So I'm thumbin' my way through ol' Kentucky,"I left for bluefield, west Virginia and worked my way up to Ohio Settled for","I'm a shit, a shit,","i left home for bluefield, west Virginia And worked my way up to ohi","I ain't been back home since, oh,"
10,210898,"I hear your footsteps down the hall
I check my messages but I don't hear you call
I think of days gone by and now I wonder why you left me
But I can't go on without you without you
Sometimes I wander on my way
Sometimes I just break down and pray
Sometimes I think of you and I don't know what to do
And I wonder how I will go on without you",How I will go on without your love,sometimes I wander on my way Sometimes I just break down and pray Sometimes I think of you and I,"I'll let you go, I'll let you go",you are a part of my life and i can't go on without you .,But I can't go on without you
11,721580,"Mama taught us how to sing in harmony
Grandma used to stomp her foot and slap her knee
I can still hear daddy singing
Down by the old mill stream
When uncle Jim played the fiddle
You could hear it talk
You could hear it sing
And it echoed down the mountains",To those Georgia pines,i can still hear daddy sing in harmony when uncle Jim played the fiddle You could hear,And he used to have a fucky and a,mama taught us how to sing in harmony . daddy could still hear uncle joe playing,"Down to the old mill stream, down to the old mill stream"
12,1110453,"There's a big race down in Dallas
Don't you wish that you were there?
You could bet your bottom dollar
On that iron gray mare
Had a black horse named Delilah
And I raised her on the farm
There was thunder, there was lightnin'
On the day Stewball was born","Won't you bet on Stewball, she might win win win",there's a big race down in Dallas Don't you wish that you were there?,"I couldn't get enough, I didn't get enough",there's a big race down in Dallas Don't you wish that you were there?,"There was thunder, there was lightnin'"
13,1783800,"Little girl don't be so quit to give your love so free
Little girl what makes you want to throw yourself with me
Just in your teens you're looking more like twenty one
You run ahead of life when it's only just begun
Don't you know I may never pass this way again
Little girl you'd better go before I'd change my mind
Little girl walk away while you still have the time
It's just a part of growing up someday you'll see",Then you'll wonder what you ever saw in me,Little girl isn't just starting to grow up Little girl you'd better go before I,Little girl don't be so quit to give your love so free,little girl don't be so quit to give your love so free . it's just,"It's not your fault, it's just a part of"
14,3500914,"I made a little bit of money
I fell and I stayed in love
I got some good friends I can sometimes count on
When times get tough
But I got vices in my closet
And foes waiting at my door
I got secrets
I could have done time for",I don't listen to the girl on the movie screen; she's lying,I made a little bit of money I fell and I stayed in love I got some good,I got a fad that I can't trust,when times got tough i got vices in my closet and foes waiting at my door,I made a little bit of money
15,207634,"Our love affair is bitter sweet
Insecure and incomplete
And I've often wondered why your leaving's been so long delayed
It's all become so complicated
Maybe you feel obligated
And out of sympathy for me you stay
But I had rather live alone
Than live with someone who doesn't love me",And I'd rather have you go than stay,my love affair is bittersweet Insecure and incomplete And I've often wondered why your leaving',But I had rather live alone,the i-reporter: i've often wondered why your leaving's been,And I don't know why it's so hard for me to
16,1787566,"I'm for the low man on the totem pole
And I'm for the underdog, God bless his soul
And I'm for the guys still pulling third shift
And the single mom raising her kids
And I'm for the preacher who stay on their knees
And I'm for the sinner who finally believed
And I'm for the farmer with dirt on his hands
And the soldiers who fight for this land",And I'm for the bible,single mom raising her kids is for the preacher who finally believed And I'm for the farmer,And I'm for the fuckers who fought for this land,john sutter: i'm for the low man on the totem pole and,"And I'm for the man in the street, I'm for"
17,4834060,"Walked into the party
Like you walked into a photoshoot
Like a red neck prince charming
In his golden cowboy boots
I fell for you so easy
Yeah, I swore that you could do no wrong
Now you come home breathing whiskey
And your trucks parked on the lawn","You make it hard, hard to love you",walked into the party Like you walked into a photoshoot Like a,So I ain't just so fucking,i fell for you so easy i swore that you could do no wrong .,"Yeah, I'm so in love with you"
18,4480302,"Can I take your order please?
We’ve got 2 for 1 drinks
No, no, I’m not busy
I can bring you anything
No I don’t need to write it down
Please, I’ve got this down by now
Oh, take your time
I know I would take mine",But I’m waiting on you,"can I take your order please? we’ve got 2 for 1 drinks No, no, I","No, no, I’m not busy",can I take your order please? we’ve got 2 for 1 drinks . can I bring,"Take your time, I know you would take mine"
